LJGauss
N     1001 R        0.1600000E-01      16.0000000
  527       8.4320000       -0.1112949E-04      -0.7919443E-05
  528       8.4480000       -0.1100361E-04      -0.7815046E-05
  529       8.4640000       -0.1087940E-04      -0.7712218E-05
  530       8.4800000       -0.1075682E-04      -0.7610934E-05
  531       8.4960000       -0.1063584E-04      -0.7511167E-05
  532       8.5120000       -0.1051645E-04      -0.7412892E-05
  533       8.5280000       -0.1039862E-04      -0.7316083E-05
  534       8.5440000       -0.1028233E-04      -0.7220717E-05
  535       8.5600000       -0.1016755E-04      -0.7126769E-05
  536       8.5760000       -0.1005426E-04      -0.7034215E-05
  537       8.5920000       -0.9942447E-05      -0.6943033E-05
  538       8.6080000       -0.9832079E-05      -0.6853198E-05
  539       8.6240000       -0.9723138E-05      -0.6764690E-05
  540       8.6400000       -0.9615602E-05      -0.6677486E-05
  541       8.6560000       -0.9509452E-05      -0.6591564E-05
  542       8.6720000       -0.9404666E-05      -0.6506903E-05
  543       8.6880000       -0.9301224E-05      -0.6423482E-05
  544       8.7040000       -0.9199108E-05      -0.6341282E-05
  545       8.7200000       -0.9098297E-05      -0.6260282E-05
  546       8.7360000       -0.8998772E-05      -0.6180462E-05
  547       8.7520000       -0.8900516E-05      -0.6101802E-05
  548       8.7680000       -0.8803509E-05      -0.6024285E-05
  549       8.7840000       -0.8707733E-05      -0.5947892E-05
  550       8.8000000       -0.8613170E-05      -0.5872603E-05
  551       8.8160000       -0.8519803E-05      -0.5798402E-05
  552       8.8320000       -0.8427616E-05      -0.5725270E-05
  553       8.8480000       -0.8336589E-05      -0.5653191E-05
  554       8.8640000       -0.8246708E-05      -0.5582146E-05
  555       8.8800000       -0.8157955E-05      -0.5512121E-05
  556       8.8960000       -0.8070315E-05      -0.5443097E-05
  557       8.9120000       -0.7983771E-05      -0.5375059E-05
  558       8.9280000       -0.7898308E-05      -0.5307992E-05
  559       8.9440000       -0.7813910E-05      -0.5241879E-05
  560       8.9600000       -0.7730562E-05      -0.5176706E-05
  561       8.9760000       -0.7648250E-05      -0.5112457E-05
  562       8.9920000       -0.7566959E-05      -0.5049118E-05
  563       9.0080000       -0.7486674E-05      -0.4986674E-05
  564       9.0240000       -0.7407381E-05      -0.4925111E-05
  565       9.0400000       -0.7329066E-05      -0.4864415E-05
  566       9.0560000       -0.7251715E-05      -0.4804573E-05
  567       9.0720000       -0.7175315E-05      -0.4745570E-05
  568       9.0880000       -0.7099852E-05      -0.4687394E-05
  569       9.1040000       -0.7025314E-05      -0.4630032E-05
  570       9.1200000       -0.6951687E-05      -0.4573470E-05
  571       9.1360000       -0.6878959E-05      -0.4517697E-05
  572       9.1520000       -0.6807117E-05      -0.4462700E-05
  573       9.1680000       -0.6736148E-05      -0.4408467E-05
  574       9.1840000       -0.6666042E-05      -0.4354985E-05
  575       9.2000000       -0.6596785E-05      -0.4302244E-05
  576       9.2160000       -0.6528366E-05      -0.4250231E-05
  577       9.2320000       -0.6460773E-05      -0.4198936E-05
  578       9.2480000       -0.6393996E-05      -0.4148347E-05
  579       9.2640000       -0.6328023E-05      -0.4098454E-05
  580       9.2800000       -0.6262842E-05      -0.4049245E-05
  581       9.2960000       -0.6198443E-05      -0.4000710E-05
  582       9.3120000       -0.6134816E-05      -0.3952839E-05
  583       9.3280000       -0.6071949E-05      -0.3905622E-05
  584       9.3440000       -0.6009832E-05      -0.3859048E-05
  585       9.3600000       -0.5948456E-05      -0.3813107E-05
  586       9.3760000       -0.5887810E-05      -0.3767791E-05
  587       9.3920000       -0.5827883E-05      -0.3723089E-05
  588       9.4080000       -0.5768668E-05      -0.3678992E-05
  589       9.4240000       -0.5710152E-05      -0.3635491E-05
  590       9.4400000       -0.5652329E-05      -0.3592577E-05
  591       9.4560000       -0.5595187E-05      -0.3550241E-05
  592       9.4720000       -0.5538718E-05      -0.3508474E-05
  593       9.4880000       -0.5482913E-05      -0.3467267E-05
  594       9.5040000       -0.5427763E-05      -0.3426613E-05
  595       9.5200000       -0.5373258E-05      -0.3386503E-05
  596       9.5360000       -0.5319392E-05      -0.3346928E-05
  597       9.5520000       -0.5266154E-05      -0.3307881E-05
  598       9.5680000       -0.5213537E-05      -0.3269354E-05
  599       9.5840000       -0.5161532E-05      -0.3231339E-05
  600       9.6000000       -0.5110131E-05      -0.3193828E-05
  601       9.6160000       -0.5059327E-05      -0.3156814E-05
  602       9.6320000       -0.5009110E-05      -0.3120289E-05
  603       9.6480000       -0.4959475E-05      -0.3084247E-05
  604       9.6640000       -0.4910412E-05      -0.3048679E-05
  605       9.6800000       -0.4861915E-05      -0.3013580E-05
  606       9.6960000       -0.4813975E-05      -0.2978941E-05
  607       9.7120000       -0.4766586E-05      -0.2944757E-05
  608       9.7280000       -0.4719740E-05      -0.2911021E-05
  609       9.7440000       -0.4673431E-05      -0.2877725E-05
  610       9.7600000       -0.4627651E-05      -0.2844864E-05
  611       9.7760000       -0.4582393E-05      -0.2812431E-05
  612       9.7920000       -0.4537651E-05      -0.2780420E-05
  613       9.8080000       -0.4493417E-05      -0.2748825E-05
  614       9.8240000       -0.4449686E-05      -0.2717639E-05
  615       9.8400000       -0.4406451E-05      -0.2686857E-05
  616       9.8560000       -0.4363705E-05      -0.2656473E-05
  617       9.8720000       -0.4321442E-05      -0.2626481E-05
  618       9.8880000       -0.4279655E-05      -0.2596875E-05
  619       9.9040000       -0.4238339E-05      -0.2567650E-05
  620       9.9200000       -0.4197488E-05      -0.2538801E-05
  621       9.9360000       -0.4157096E-05      -0.2510321E-05
  622       9.9520000       -0.4117156E-05      -0.2482206E-05
  623       9.9680000       -0.4077663E-05      -0.2454450E-05
  624       9.9840000       -0.4038612E-05      -0.2427048E-05
  625      10.0000000       -0.3999996E-05      -0.2399995E-05
  626      10.0160000       -0.3961810E-05      -0.2373287E-05
  627      10.0320000       -0.3924049E-05      -0.2346917E-05
  628      10.0480000       -0.3886707E-05      -0.2320882E-05
  629      10.0640000       -0.3849779E-05      -0.2295176E-05
  630      10.0800000       -0.3813260E-05      -0.2269795E-05
  631      10.0960000       -0.3777144E-05      -0.2244735E-05
  632      10.1120000       -0.3741427E-05      -0.2219990E-05
  633      10.1280000       -0.3706103E-05      -0.2195556E-05
  634      10.1440000       -0.3671167E-05      -0.2171430E-05
  635      10.1600000       -0.3636615E-05      -0.2147605E-05
  636      10.1760000       -0.3602442E-05      -0.2124080E-05
  637      10.1920000       -0.3568643E-05      -0.2100848E-05
  638      10.2080000       -0.3535213E-05      -0.2077906E-05
  639      10.2240000       -0.3502149E-05      -0.2055250E-05
  640      10.2400000       -0.3469444E-05      -0.2032876E-05
  641      10.2560000       -0.3437095E-05      -0.2010779E-05
  642      10.2720000       -0.3405098E-05      -0.1988957E-05
  643      10.2880000       -0.3373447E-05      -0.1967405E-05
  644      10.3040000       -0.3342139E-05      -0.1946120E-05
  645      10.3200000       -0.3311170E-05      -0.1925097E-05
  646      10.3360000       -0.3280535E-05      -0.1904334E-05
  647      10.3520000       -0.3250230E-05      -0.1883826E-05
  648      10.3680000       -0.3220251E-05      -0.1863570E-05
  649      10.3840000       -0.3190594E-05      -0.1843562E-05
  650      10.4000000       -0.3161256E-05      -0.1823800E-05
  651      10.4160000       -0.3132231E-05      -0.1804279E-05
  652      10.4320000       -0.3103517E-05      -0.1784997E-05
  653      10.4480000       -0.3075110E-05      -0.1765950E-05
  654      10.4640000       -0.3047006E-05      -0.1747135E-05
  655      10.4800000       -0.3019201E-05      -0.1728549E-05
  656      10.4960000       -0.2991691E-05      -0.1710188E-05
  657      10.5120000       -0.2964473E-05      -0.1692050E-05
  658      10.5280000       -0.2937544E-05      -0.1674131E-05
  659      10.5440000       -0.2910900E-05      -0.1656429E-05
  660      10.5600000       -0.2884537E-05      -0.1638941E-05
  661      10.5760000       -0.2858453E-05      -0.1621663E-05
  662      10.5920000       -0.2832643E-05      -0.1604593E-05
  663      10.6080000       -0.2807105E-05      -0.1587728E-05
  664      10.6240000       -0.2781835E-05      -0.1571065E-05
  665      10.6400000       -0.2756830E-05      -0.1554602E-05
  666      10.6560000       -0.2732086E-05      -0.1538336E-05
  667      10.6720000       -0.2707602E-05      -0.1522264E-05
  668      10.6880000       -0.2683373E-05      -0.1506383E-05
  669      10.7040000       -0.2659397E-05      -0.1490692E-05
  670      10.7200000       -0.2635670E-05      -0.1475187E-05
  671      10.7360000       -0.2612190E-05      -0.1459867E-05
  672      10.7520000       -0.2588953E-05      -0.1444727E-05
  673      10.7680000       -0.2565957E-05      -0.1429767E-05
  674      10.7840000       -0.2543200E-05      -0.1414984E-05
  675      10.8000000       -0.2520677E-05      -0.1400375E-05
  676      10.8160000       -0.2498387E-05      -0.1385938E-05
  677      10.8320000       -0.2476326E-05      -0.1371672E-05
  678      10.8480000       -0.2454492E-05      -0.1357572E-05
  679      10.8640000       -0.2432883E-05      -0.1343638E-05
  680      10.8800000       -0.2411495E-05      -0.1329868E-05
  681      10.8960000       -0.2390326E-05      -0.1316258E-05
  682      10.9120000       -0.2369374E-05      -0.1302807E-05
  683      10.9280000       -0.2348635E-05      -0.1289514E-05
  684      10.9440000       -0.2328109E-05      -0.1276375E-05
  685      10.9600000       -0.2307791E-05      -0.1263388E-05
  686      10.9760000       -0.2287679E-05      -0.1250553E-05
  687      10.9920000       -0.2267772E-05      -0.1237866E-05
  688      11.0080000       -0.2248067E-05      -0.1225326E-05
  689      11.0240000       -0.2228561E-05      -0.1212932E-05
  690      11.0400000       -0.2209252E-05      -0.1200680E-05
  691      11.0560000       -0.2190138E-05      -0.1188569E-05
  692      11.0720000       -0.2171217E-05      -0.1176598E-05
  693      11.0880000       -0.2152487E-05      -0.1164765E-05
  694      11.1040000       -0.2133944E-05      -0.1153067E-05
  695      11.1200000       -0.2115588E-05      -0.1141504E-05
  696      11.1360000       -0.2097415E-05      -0.1130072E-05
  697      11.1520000       -0.2079425E-05      -0.1118772E-05
  698      11.1680000       -0.2061614E-05      -0.1107600E-05
  699      11.1840000       -0.2043981E-05      -0.1096556E-05
  700      11.2000000       -0.2026523E-05      -0.1085637E-05
  701      11.2160000       -0.2009240E-05      -0.1074842E-05
  702      11.2320000       -0.1992128E-05      -0.1064170E-05
  703      11.2480000       -0.1975186E-05      -0.1053619E-05
  704      11.2640000       -0.1958411E-05      -0.1043187E-05
  705      11.2800000       -0.1941803E-05      -0.1032873E-05
  706      11.2960000       -0.1925359E-05      -0.1022676E-05
  707      11.3120000       -0.1909077E-05      -0.1012593E-05
  708      11.3280000       -0.1892955E-05      -0.1002624E-05
  709      11.3440000       -0.1876992E-05      -0.9927669E-06
  710      11.3600000       -0.1861186E-05      -0.9830204E-06
  711      11.3760000       -0.1845535E-05      -0.9733830E-06
  712      11.3920000       -0.1830037E-05      -0.9638535E-06
  713      11.4080000       -0.1814691E-05      -0.9544304E-06
  714      11.4240000       -0.1799495E-05      -0.9451125E-06
  715      11.4400000       -0.1784447E-05      -0.9358984E-06
  716      11.4560000       -0.1769546E-05      -0.9267868E-06
  717      11.4720000       -0.1754789E-05      -0.9177764E-06
  718      11.4880000       -0.1740176E-05      -0.9088660E-06
  719      11.5040000       -0.1725705E-05      -0.9000544E-06
  720      11.5200000       -0.1711374E-05      -0.8913402E-06
  721      11.5360000       -0.1697182E-05      -0.8827224E-06
  722      11.5520000       -0.1683126E-05      -0.8741996E-06
  723      11.5680000       -0.1669207E-05      -0.8657708E-06
  724      11.5840000       -0.1655421E-05      -0.8574347E-06
  725      11.6000000       -0.1641768E-05      -0.8491902E-06
  726      11.6160000       -0.1628247E-05      -0.8410362E-06
  727      11.6320000       -0.1614855E-05      -0.8329715E-06
  728      11.6480000       -0.1601591E-05      -0.8249951E-06
  729      11.6640000       -0.1588454E-05      -0.8171059E-06
  730      11.6800000       -0.1575443E-05      -0.8093027E-06
  731      11.6960000       -0.1562556E-05      -0.8015846E-06
  732      11.7120000       -0.1549792E-05      -0.7939506E-06
  733      11.7280000       -0.1537149E-05      -0.7863995E-06
  734      11.7440000       -0.1524627E-05      -0.7789303E-06
  735      11.7600000       -0.1512223E-05      -0.7715422E-06
  736      11.7760000       -0.1499937E-05      -0.7642340E-06
  737      11.7920000       -0.1487767E-05      -0.7570048E-06
  738      11.8080000       -0.1475713E-05      -0.7498537E-06
  739      11.8240000       -0.1463772E-05      -0.7427796E-06
  740      11.8400000       -0.1451943E-05      -0.7357817E-06
  741      11.8560000       -0.1440226E-05      -0.7288591E-06
  742      11.8720000       -0.1428619E-05      -0.7220108E-06
  743      11.8880000       -0.1417121E-05      -0.7152360E-06
  744      11.9040000       -0.1405731E-05      -0.7085337E-06
  745      11.9200000       -0.1394448E-05      -0.7019031E-06
  746      11.9360000       -0.1383270E-05      -0.6953433E-06
  747      11.9520000       -0.1372197E-05      -0.6888535E-06
  748      11.9680000       -0.1361226E-05      -0.6824328E-06
  749      11.9840000       -0.1350358E-05      -0.6760804E-06
  750      12.0000000       -0.1339591E-05      -0.6697955E-06
  751      12.0160000       -0.1328925E-05      -0.6635773E-06
  752      12.0320000       -0.1318357E-05      -0.6574250E-06
  753      12.0480000       -0.1307887E-05      -0.6513377E-06
  754      12.0640000       -0.1297513E-05      -0.6453149E-06
  755      12.0800000       -0.1287236E-05      -0.6393555E-06
  756      12.0960000       -0.1277054E-05      -0.6334590E-06
  757      12.1120000       -0.1266965E-05      -0.6276246E-06
  758      12.1280000       -0.1256969E-05      -0.6218514E-06
  759      12.1440000       -0.1247066E-05      -0.6161389E-06
  760      12.1600000       -0.1237253E-05      -0.6104863E-06
  761      12.1760000       -0.1227530E-05      -0.6048929E-06
  762      12.1920000       -0.1217896E-05      -0.5993580E-06
  763      12.2080000       -0.1208350E-05      -0.5938809E-06
  764      12.2240000       -0.1198891E-05      -0.5884609E-06
  765      12.2400000       -0.1189519E-05      -0.5830973E-06
  766      12.2560000       -0.1180232E-05      -0.5777896E-06
  767      12.2720000       -0.1171029E-05      -0.5725370E-06
  768      12.2880000       -0.1161910E-05      -0.5673389E-06
  769      12.3040000       -0.1152874E-05      -0.5621947E-06
  770      12.3200000       -0.1143920E-05      -0.5571037E-06
  771      12.3360000       -0.1135047E-05      -0.5520653E-06
  772      12.3520000       -0.1126254E-05      -0.5470790E-06
  773      12.3680000       -0.1117540E-05      -0.5421440E-06
  774      12.3840000       -0.1108905E-05      -0.5372599E-06
  775      12.4000000       -0.1100347E-05      -0.5324259E-06
  776      12.4160000       -0.1091867E-05      -0.5276417E-06
  777      12.4320000       -0.1083462E-05      -0.5229064E-06
  778      12.4480000       -0.1075134E-05      -0.5182197E-06
  779      12.4640000       -0.1066879E-05      -0.5135810E-06
  780      12.4800000       -0.1058699E-05      -0.5089896E-06
  781      12.4960000       -0.1050591E-05      -0.5044451E-06
  782      12.5120000       -0.1042556E-05      -0.4999469E-06
  783      12.5280000       -0.1034593E-05      -0.4954945E-06
  784      12.5440000       -0.1026700E-05      -0.4910873E-06
  785      12.5600000       -0.1018878E-05      -0.4867249E-06
  786      12.5760000       -0.1011125E-05      -0.4824067E-06
  787      12.5920000       -0.1003440E-05      -0.4781322E-06
  788      12.6080000       -0.9958242E-06      -0.4739010E-06
  789      12.6240000       -0.9882754E-06      -0.4697125E-06
  790      12.6400000       -0.9807932E-06      -0.4655663E-06
  791      12.6560000       -0.9733770E-06      -0.4614618E-06
  792      12.6720000       -0.9660262E-06      -0.4573987E-06
  793      12.6880000       -0.9587400E-06      -0.4533763E-06
  794      12.7040000       -0.9515179E-06      -0.4493944E-06
  795      12.7200000       -0.9443592E-06      -0.4454524E-06
  796      12.7360000       -0.9372632E-06      -0.4415498E-06
  797      12.7520000       -0.9302294E-06      -0.4376863E-06
  798      12.7680000       -0.9232571E-06      -0.4338613E-06
  799      12.7840000       -0.9163456E-06      -0.4300745E-06
  800      12.8000000       -0.9094945E-06      -0.4263254E-06
  801      12.8160000       -0.9027030E-06      -0.4226137E-06
  802      12.8320000       -0.8959707E-06      -0.4189388E-06
  803      12.8480000       -0.8892968E-06      -0.4153004E-06
  804      12.8640000       -0.8826809E-06      -0.4116981E-06
  805      12.8800000       -0.8761223E-06      -0.4081314E-06
  806      12.8960000       -0.8696205E-06      -0.4046000E-06
  807      12.9120000       -0.8631749E-06      -0.4011035E-06
  808      12.9280000       -0.8567850E-06      -0.3976415E-06
  809      12.9440000       -0.8504502E-06      -0.3942135E-06
  810      12.9600000       -0.8441700E-06      -0.3908193E-06
  811      12.9760000       -0.8379438E-06      -0.3874585E-06
  812      12.9920000       -0.8317711E-06      -0.3841307E-06
  813      13.0080000       -0.8256514E-06      -0.3808354E-06
  814      13.0240000       -0.8195842E-06      -0.3775725E-06
  815      13.0400000       -0.8135689E-06      -0.3743415E-06
  816      13.0560000       -0.8076051E-06      -0.3711420E-06
  817      13.0720000       -0.8016922E-06      -0.3679737E-06
  818      13.0880000       -0.7958298E-06      -0.3648363E-06
  819      13.1040000       -0.7900173E-06      -0.3617295E-06
  820      13.1200000       -0.7842543E-06      -0.3586528E-06
  821      13.1360000       -0.7785402E-06      -0.3556060E-06
  822      13.1520000       -0.7728747E-06      -0.3525888E-06
  823      13.1680000       -0.7672572E-06      -0.3496007E-06
  824      13.1840000       -0.7616873E-06      -0.3466416E-06
  825      13.2000000       -0.7561646E-06      -0.3437111E-06
  826      13.2160000       -0.7506884E-06      -0.3408089E-06
  827      13.2320000       -0.7452585E-06      -0.3379346E-06
  828      13.2480000       -0.7398744E-06      -0.3350880E-06
  829      13.2640000       -0.7345356E-06      -0.3322687E-06
  830      13.2800000       -0.7292416E-06      -0.3294766E-06
  831      13.2960000       -0.7239922E-06      -0.3267112E-06
  832      13.3120000       -0.7187867E-06      -0.3239723E-06
  833      13.3280000       -0.7136249E-06      -0.3212597E-06
  834      13.3440000       -0.7085063E-06      -0.3185729E-06
  835      13.3600000       -0.7034305E-06      -0.3159118E-06
  836      13.3760000       -0.6983970E-06      -0.3132761E-06
  837      13.3920000       -0.6934055E-06      -0.3106655E-06
  838      13.4080000       -0.6884556E-06      -0.3080797E-06
  839      13.4240000       -0.6835468E-06      -0.3055185E-06
  840      13.4400000       -0.6786788E-06      -0.3029816E-06
  841      13.4560000       -0.6738513E-06      -0.3004687E-06
  842      13.4720000       -0.6690637E-06      -0.2979796E-06
  843      13.4880000       -0.6643158E-06      -0.2955141E-06
  844      13.5040000       -0.6596071E-06      -0.2930718E-06
  845      13.5200000       -0.6549374E-06      -0.2906526E-06
  846      13.5360000       -0.6503061E-06      -0.2882562E-06
  847      13.5520000       -0.6457130E-06      -0.2858824E-06
  848      13.5680000       -0.6411578E-06      -0.2835308E-06
  849      13.5840000       -0.6366399E-06      -0.2812013E-06
  850      13.6000000       -0.6321592E-06      -0.2788937E-06
  851      13.6160000       -0.6277152E-06      -0.2766077E-06
  852      13.6320000       -0.6233077E-06      -0.2743431E-06
  853      13.6480000       -0.6189361E-06      -0.2720997E-06
  854      13.6640000       -0.6146004E-06      -0.2698772E-06
  855      13.6800000       -0.6103000E-06      -0.2676754E-06
  856      13.6960000       -0.6060346E-06      -0.2654941E-06
  857      13.7120000       -0.6018040E-06      -0.2633331E-06
  858      13.7280000       -0.5976079E-06      -0.2611922E-06
  859      13.7440000       -0.5934458E-06      -0.2590712E-06
  860      13.7600000       -0.5893175E-06      -0.2569698E-06
  861      13.7760000       -0.5852226E-06      -0.2548879E-06
  862      13.7920000       -0.5811610E-06      -0.2528252E-06
  863      13.8080000       -0.5771321E-06      -0.2507816E-06
  864      13.8240000       -0.5731359E-06      -0.2487568E-06
  865      13.8400000       -0.5691718E-06      -0.2467508E-06
  866      13.8560000       -0.5652397E-06      -0.2447631E-06
  867      13.8720000       -0.5613393E-06      -0.2427938E-06
  868      13.8880000       -0.5574702E-06      -0.2408425E-06
  869      13.9040000       -0.5536322E-06      -0.2389092E-06
  870      13.9200000       -0.5498250E-06      -0.2369935E-06
  871      13.9360000       -0.5460484E-06      -0.2350954E-06
  872      13.9520000       -0.5423019E-06      -0.2332147E-06
  873      13.9680000       -0.5385854E-06      -0.2313511E-06
  874      13.9840000       -0.5348986E-06      -0.2295045E-06
  875      14.0000000       -0.5312412E-06      -0.2276748E-06
  876      14.0160000       -0.5276129E-06      -0.2258617E-06
  877      14.0320000       -0.5240135E-06      -0.2240650E-06
  878      14.0480000       -0.5204427E-06      -0.2222847E-06
  879      14.0640000       -0.5169003E-06      -0.2205206E-06
  880      14.0800000       -0.5133860E-06      -0.2187724E-06
  881      14.0960000       -0.5098995E-06      -0.2170401E-06
  882      14.1120000       -0.5064406E-06      -0.2153234E-06
  883      14.1280000       -0.5030091E-06      -0.2136222E-06
  884      14.1440000       -0.4996046E-06      -0.2119363E-06
  885      14.1600000       -0.4962270E-06      -0.2102657E-06
  886      14.1760000       -0.4928760E-06      -0.2086100E-06
  887      14.1920000       -0.4895514E-06      -0.2069693E-06
  888      14.2080000       -0.4862529E-06      -0.2053433E-06
  889      14.2240000       -0.4829804E-06      -0.2037319E-06
  890      14.2400000       -0.4797335E-06      -0.2021349E-06
  891      14.2560000       -0.4765120E-06      -0.2005522E-06
  892      14.2720000       -0.4733157E-06      -0.1989836E-06
  893      14.2880000       -0.4701444E-06      -0.1974290E-06
  894      14.3040000       -0.4669979E-06      -0.1958884E-06
  895      14.3200000       -0.4638759E-06      -0.1943614E-06
  896      14.3360000       -0.4607783E-06      -0.1928480E-06
  897      14.3520000       -0.4577047E-06      -0.1913481E-06
  898      14.3680000       -0.4546551E-06      -0.1898615E-06
  899      14.3840000       -0.4516291E-06      -0.1883881E-06
  900      14.4000000       -0.4486266E-06      -0.1869277E-06
  901      14.4160000       -0.4456473E-06      -0.1854803E-06
  902      14.4320000       -0.4426911E-06      -0.1840456E-06
  903      14.4480000       -0.4397578E-06      -0.1826236E-06
  904      14.4640000       -0.4368471E-06      -0.1812142E-06
  905      14.4800000       -0.4339589E-06      -0.1798172E-06
  906      14.4960000       -0.4310929E-06      -0.1784325E-06
  907      14.5120000       -0.4282490E-06      -0.1770599E-06
  908      14.5280000       -0.4254269E-06      -0.1756994E-06
  909      14.5440000       -0.4226265E-06      -0.1743509E-06
  910      14.5600000       -0.4198476E-06      -0.1730141E-06
  911      14.5760000       -0.4170900E-06      -0.1716891E-06
  912      14.5920000       -0.4143535E-06      -0.1703756E-06
  913      14.6080000       -0.4116379E-06      -0.1690736E-06
  914      14.6240000       -0.4089431E-06      -0.1677830E-06
  915      14.6400000       -0.4062688E-06      -0.1665036E-06
  916      14.6560000       -0.4036149E-06      -0.1652353E-06
  917      14.6720000       -0.4009812E-06      -0.1639781E-06
  918      14.6880000       -0.3983676E-06      -0.1627318E-06
  919      14.7040000       -0.3957737E-06      -0.1614963E-06
  920      14.7200000       -0.3931996E-06      -0.1602716E-06
  921      14.7360000       -0.3906450E-06      -0.1590574E-06
  922      14.7520000       -0.3881097E-06      -0.1578537E-06
  923      14.7680000       -0.3855936E-06      -0.1566605E-06
  924      14.7840000       -0.3830965E-06      -0.1554775E-06
  925      14.8000000       -0.3806183E-06      -0.1543047E-06
  926      14.8160000       -0.3781587E-06      -0.1531420E-06
  927      14.8320000       -0.3757177E-06      -0.1519893E-06
  928      14.8480000       -0.3732950E-06      -0.1508466E-06
  929      14.8640000       -0.3708906E-06      -0.1497136E-06
  930      14.8800000       -0.3685041E-06      -0.1485904E-06
  931      14.8960000       -0.3661356E-06      -0.1474767E-06
  932      14.9120000       -0.3637848E-06      -0.1463726E-06
  933      14.9280000       -0.3614516E-06      -0.1452780E-06
  934      14.9440000       -0.3591359E-06      -0.1441927E-06
  935      14.9600000       -0.3568374E-06      -0.1431166E-06
  936      14.9760000       -0.3545561E-06      -0.1420497E-06
  937      14.9920000       -0.3522918E-06      -0.1409919E-06
  938      15.0080000       -0.3500443E-06      -0.1399431E-06
  939      15.0240000       -0.3478136E-06      -0.1389032E-06
  940      15.0400000       -0.3455994E-06      -0.1378721E-06
  941      15.0560000       -0.3434016E-06      -0.1368497E-06
  942      15.0720000       -0.3412201E-06      -0.1358360E-06
  943      15.0880000       -0.3390548E-06      -0.1348309E-06
  944      15.1040000       -0.3369055E-06      -0.1338343E-06
  945      15.1200000       -0.3347721E-06      -0.1328460E-06
  946      15.1360000       -0.3326544E-06      -0.1318662E-06
  947      15.1520000       -0.3305523E-06      -0.1308945E-06
  948      15.1680000       -0.3284657E-06      -0.1299310E-06
  949      15.1840000       -0.3263945E-06      -0.1289757E-06
  950      15.2000000       -0.3243384E-06      -0.1280283E-06
  951      15.2160000       -0.3222975E-06      -0.1270889E-06
  952      15.2320000       -0.3202716E-06      -0.1261574E-06
  953      15.2480000       -0.3182604E-06      -0.1252336E-06
  954      15.2640000       -0.3162640E-06      -0.1243176E-06
  955      15.2800000       -0.3142822E-06      -0.1234092E-06
  956      15.2960000       -0.3123149E-06      -0.1225085E-06
  957      15.3120000       -0.3103619E-06      -0.1216152E-06
  958      15.3280000       -0.3084232E-06      -0.1207293E-06
  959      15.3440000       -0.3064985E-06      -0.1198508E-06
  960      15.3600000       -0.3045879E-06      -0.1189796E-06
  961      15.3760000       -0.3026912E-06      -0.1181157E-06
  962      15.3920000       -0.3008082E-06      -0.1172589E-06
  963      15.4080000       -0.2989388E-06      -0.1164092E-06
  964      15.4240000       -0.2970830E-06      -0.1155665E-06
  965      15.4400000       -0.2952407E-06      -0.1147308E-06
  966      15.4560000       -0.2934116E-06      -0.1139020E-06
  967      15.4720000       -0.2915958E-06      -0.1130800E-06
  968      15.4880000       -0.2897930E-06      -0.1122648E-06
  969      15.5040000       -0.2880033E-06      -0.1114564E-06
  970      15.5200000       -0.2862264E-06      -0.1106545E-06
  971      15.5360000       -0.2844623E-06      -0.1098593E-06
  972      15.5520000       -0.2827108E-06      -0.1090705E-06
  973      15.5680000       -0.2809720E-06      -0.1082883E-06
  974      15.5840000       -0.2792456E-06      -0.1075124E-06
  975      15.6000000       -0.2775316E-06      -0.1067429E-06
  976      15.6160000       -0.2758298E-06      -0.1059797E-06
  977      15.6320000       -0.2741402E-06      -0.1052227E-06
  978      15.6480000       -0.2724626E-06      -0.1044719E-06
  979      15.6640000       -0.2707970E-06      -0.1037272E-06
  980      15.6800000       -0.2691433E-06      -0.1029885E-06
  981      15.6960000       -0.2675014E-06      -0.1022559E-06
  982      15.7120000       -0.2658711E-06      -0.1015292E-06
  983      15.7280000       -0.2642524E-06      -0.1008084E-06
  984      15.7440000       -0.2626452E-06      -0.1000934E-06
  985      15.7600000       -0.2610494E-06      -0.9938428E-07
  986      15.7760000       -0.2594649E-06      -0.9868085E-07
  987      15.7920000       -0.2578916E-06      -0.9798311E-07
  988      15.8080000       -0.2563294E-06      -0.9729101E-07
  989      15.8240000       -0.2547782E-06      -0.9660448E-07
  990      15.8400000       -0.2532380E-06      -0.9592348E-07
  991      15.8560000       -0.2517087E-06      -0.9524797E-07
  992      15.8720000       -0.2501901E-06      -0.9457789E-07
  993      15.8880000       -0.2486821E-06      -0.9391319E-07
  994      15.9040000       -0.2471848E-06      -0.9325382E-07
  995      15.9200000       -0.2456980E-06      -0.9259974E-07
  996      15.9360000       -0.2442216E-06      -0.9195089E-07
  997      15.9520000       -0.2427555E-06      -0.9130724E-07
  998      15.9680000       -0.2412997E-06      -0.9066873E-07
  999      15.9840000       -0.2398541E-06      -0.9003532E-07
 1000      16.0000000       -0.2384186E-06      -0.8940696E-07
 1001      16.0160000       -0.2369930E-06      -0.8878360E-07
